observation_date,group_id,location_direction_id,direction,observed_hours,bicycles_per_observed_hour,counter_site,longitude,latitude,bike_share_stations_1km,bike_share_trip_ends_1km,cyclist_ksi_collisions_1km,cycling_network_km_1km,neighbourhood_id,neighbourhood_population,neighbourhood_low_income_pct,neighbourhood_improvement_area,day_of_week
2024-06-01,62a9f3857b4d,14,Northbound,24.0,2.625,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,5
2024-06-02,62a9f3857b4d,14,Northbound,24.0,1.25,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,6
2024-06-03,62a9f3857b4d,14,Northbound,24.0,2.333333,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,0
2024-06-04,62a9f3857b4d,14,Northbound,24.0,2.166667,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,1
2024-06-05,62a9f3857b4d,14,Northbound,24.0,1.875,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,2
2024-06-06,62a9f3857b4d,14,Northbound,24.0,2.041667,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,3
2024-06-07,62a9f3857b4d,14,Northbound,24.0,1.333333,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,4
2024-06-08,62a9f3857b4d,14,Northbound,24.0,0.75,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,5
2024-06-09,62a9f3857b4d,14,Northbound,24.0,0.916667,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,6
2024-06-10,62a9f3857b4d,14,Northbound,24.0,1.666667,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,0
2024-06-11,62a9f3857b4d,14,Northbound,24.0,1.791667,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,1
2024-06-12,62a9f3857b4d,14,Northbound,24.0,1.666667,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,2
2024-06-13,62a9f3857b4d,14,Northbound,24.0,1.458333,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,3
2024-06-14,62a9f3857b4d,14,Northbound,24.0,1.708333,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,4
2024-06-15,62a9f3857b4d,14,Northbound,24.0,1.625,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,5
2024-06-16,62a9f3857b4d,14,Northbound,24.0,1.75,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,6
2024-06-17,62a9f3857b4d,14,Northbound,24.0,1.791667,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,0
2024-06-18,62a9f3857b4d,14,Northbound,24.0,2.083333,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,1
2024-06-19,62a9f3857b4d,14,Northbound,24.0,1.0,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,2
2024-06-20,62a9f3857b4d,14,Northbound,24.0,1.458333,"Keele St, south of Sheppard Ave W (multi-use path)",-79.4861368,43.7444884,4,865,0,11.7024,155,17970,9.6,1,3
